,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS
Field,8.942,7.284,4.466,6.362,13.351,,,,,,,,,,,,9.237,5.866,6.384,5.667,10.059,,6.191,6.562,,,,,,,,
T0,9.318,6.19,4.348,3.809,6.128,,,,,,,,,,,,12.069,6.5,5.225,5.303,10.48,4.435,6.228,5.206,,,,,,,,
27,7.246,5.997,3.51,7.776,5.027,9.134,4.311,3.086,5.366,5.005,,,,,,,14.952,7.436,5.748,5.207,6.244,5.538,6.51,6.663,6.279,6.805,6.954,4.353,5.29,4.9,6.74,6.307
29.5,5.604,5.865,3.008,5.126,5.186,7.243,6.119,4.333,4.792,5.934,,,,,,,8.263,9.461,6.382,5.601,10.825,5.961,6.366,8.07,8.801,8.157,6.574,6.135,9.391,6.142,6.978,7.92
32,5.34,7.227,4.208,4.06,5.108,6.883,2.568,2.477,5.178,3.44,,,,,,,7.518,7.759,4.703,6.12,6.251,6.37,5.99,6.856,7.92,7.896,4.475,6.929,9.442,6.97,7.071,6.905
34.5,5.917,4.899,4.128,6.471,3.456,6.192,6.048,2.687,3.986,5.775,,,,,,,13.296,7.426,24.371*,6.628,7.069,4.186,8.21,6.653,6.775,7.619,7.198,8.197,6.73,8.741,8.442,6.556
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE: Numbers with asterisks denote outliers ommitted from analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,